Observation time UTC,Frequency [D/H],Maximum Temperature [Deg C],Data Source (max temp),Minimum Temperature [Deg C],Data Source (min temp),Grass Temperature [Deg C],Data Source (grass temp),Period (max temp),Period (min temp),Period (grass temp),Mean Temperature [Deg C],Period (mean temp),Data Source (mean temp),Mean Relative Humidity [percent]
2023-11-24T20:00:00Z,D,15.3,D,4.9,D,,,24,24,,,,,
2023-11-25T20:00:00Z,D,17.1,D,8.1,D,,,24,24,,,,,
2023-11-26T20:00:00Z,D,16.8,D,7.8,D,,,24,24,,,,,
2023-11-27T20:00:00Z,D,16.4,D,8.7,D,,,24,24,,,,,
2023-11-28T20:00:00Z,D,16.3,D,9.9,D,,,24,24,,,,,
2023-11-29T20:00:00Z,D,16.9,D,7.7,D,,,24,24,,,,,
2023-11-30T20:00:00Z,D,15.3,D,5.4,D,,,24,24,,,,,
2023-12-01T20:00:00Z,D,18.3,D,11.1,D,,,24,24,,,,,
2023-12-02T20:00:00Z,D,17.2,D,12.2,D,,,24,24,,,,,
2023-12-03T20:00:00Z,D,15.8,D,12.9,D,,,24,24,,,,,
2023-12-04T20:00:00Z,D,18.4,D,12.6,D,,,24,24,,,,,
2023-12-05T20:00:00Z,D,15.8,D,11.2,D,,,24,24,,,,,
2023-12-06T20:00:00Z,D,19,D,10.6,D,,,24,24,,,,,
2023-12-08T20:00:00Z,D,19.5,D,6.9,D,,,24,24,,,,,
2023-12-09T20:00:00Z,D,20.2,D,10.2,D,,,24,24,,,,,
2023-12-10T20:00:00Z,D,17.6,D,10.7,D,,,24,24,,,,,
2023-12-11T20:00:00Z,D,18.9,D,8.4,D,,,24,24,,,,,
2023-12-12T20:00:00Z,D,15.8,D,8.3,D,,,24,24,,,,,
2023-12-13T20:00:00Z,D,14.3,D,9.8,D,,,24,24,,,,,
2023-12-14T20:00:00Z,D,17.1,D,10.4,D,,,24,24,,,,,
2023-12-15T20:00:00Z,D,16.6,D,8.1,D,,,24,24,,,,,
2023-12-16T20:00:00Z,D,20.2,D,7.1,D,,,24,24,,,,,
2023-12-17T20:00:00Z,D,22,D,13,D,,,24,24,,,,,
2023-12-18T20:00:00Z,D,20.9,D,11.7,D,,,24,24,,,,,
2023-12-19T20:00:00Z,D,22.7,D,13.9,D,,,24,24,,,,,
2023-12-20T20:00:00Z,D,22.5,D,10.1,D,,,24,24,,,,,
